Instrument,Date
000002.SZ,2020-05-29
000002.SZ,2020-06-01
000002.SZ,2020-06-03
000002.SZ,2020-06-04
000002.SZ,2020-06-05
000002.SZ,2020-06-08
000002.SZ,2020-06-30
000002.SZ,2020-07-01
000002.SZ,2020-07-31
000002.SZ,2020-08-03
000002.SZ,2020-08-31
000002.SZ,2020-09-01
000002.SZ,2020-09-30
000002.SZ,2020-10-09
000002.SZ,2020-10-30
000002.SZ,2020-11-02
000002.SZ,2020-11-30
000002.SZ,2020-12-01
000002.SZ,2020-12-31
000002.SZ,2021-01-04
000002.SZ,2021-01-29
000002.SZ,2021-02-01
000002.SZ,2021-02-26
000002.SZ,2021-03-01
000002.SZ,2021-03-31
000002.SZ,2021-04-01
000002.SZ,2021-04-30
000002.SZ,2021-05-06
000002.SZ,2021-05-31
000002.SZ,2021-06-01
000002.SZ,2021-06-30
000002.SZ,2021-07-01
000002.SZ,2021-07-30
000002.SZ,2021-08-02
000002.SZ,2021-08-31
000002.SZ,2021-09-01
000002.SZ,2021-09-30
000002.SZ,2021-10-08
000002.SZ,2021-10-29
000002.SZ,2021-11-01
000002.SZ,2021-11-30
000002.SZ,2021-12-01
000002.SZ,2021-12-31
000002.SZ,2022-01-04
000002.SZ,2022-01-28
000002.SZ,2022-02-07
000002.SZ,2022-02-28
000002.SZ,2022-03-01
000002.SZ,2022-03-31
000002.SZ,2022-04-01
000002.SZ,2022-04-29
000002.SZ,2022-05-05
000002.SZ,2022-05-31
000002.SZ,2022-06-01
000002.SZ,2022-06-30
000002.SZ,2022-07-01
000002.SZ,2022-07-29
000002.SZ,2022-08-01
000002.SZ,2022-08-31
000002.SZ,2022-09-01
000002.SZ,2022-09-30
000002.SZ,2022-10-10
000002.SZ,2022-10-31
000002.SZ,2022-11-01
000002.SZ,2022-11-30
000002.SZ,2022-12-01
000002.SZ,2022-12-30
000002.SZ,2023-01-03
000002.SZ,2023-01-31
000002.SZ,2023-02-01
000002.SZ,2023-02-28
000002.SZ,2023-03-01
000002.SZ,2023-03-31
000002.SZ,2023-04-03
000002.SZ,2023-04-28
000002.SZ,2023-05-31
000002.SZ,2023-06-01
000002.SZ,2023-06-02
000002.SZ,2023-06-30
000002.SZ,2023-07-03
000002.SZ,2023-07-31
000002.SZ,2023-08-01
000002.SZ,2023-08-31
000002.SZ,2023-09-01
