Symbol,Date,Ind_class,List_date
000011.SZ,2017-02-28,房地产,1992-03-30
000011.SZ,2017-03-31,房地产,1992-03-30
000011.SZ,2017-04-28,房地产,1992-03-30
000011.SZ,2017-05-31,房地产,1992-03-30
000011.SZ,2017-06-30,房地产,1992-03-30
000011.SZ,2017-07-31,房地产,1992-03-30
000011.SZ,2017-08-31,房地产,1992-03-30
000011.SZ,2017-09-29,房地产,1992-03-30
000011.SZ,2017-10-31,房地产,1992-03-30
000011.SZ,2017-11-30,房地产,1992-03-30
000011.SZ,2017-12-29,房地产,1992-03-30
000011.SZ,2018-01-31,房地产,1992-03-30
000011.SZ,2018-02-28,房地产,1992-03-30
000011.SZ,2018-03-30,房地产,1992-03-30
000011.SZ,2018-04-27,房地产,1992-03-30
000011.SZ,2018-05-31,房地产,1992-03-30
000011.SZ,2018-06-29,房地产,1992-03-30
000011.SZ,2018-07-31,房地产,1992-03-30
000011.SZ,2018-08-31,房地产,1992-03-30
000011.SZ,2018-09-28,房地产,1992-03-30
000011.SZ,2018-10-31,房地产,1992-03-30
000011.SZ,2018-11-30,房地产,1992-03-30
000011.SZ,2018-12-28,房地产,1992-03-30
000011.SZ,2019-01-31,房地产,1992-03-30
000011.SZ,2019-02-28,房地产,1992-03-30
000011.SZ,2019-03-29,房地产,1992-03-30
000011.SZ,2019-04-30,房地产,1992-03-30
000011.SZ,2019-05-31,房地产,1992-03-30
000011.SZ,2019-06-28,房地产,1992-03-30
000011.SZ,2019-07-31,房地产,1992-03-30
000011.SZ,2019-08-30,房地产,1992-03-30
000011.SZ,2019-09-30,房地产,1992-03-30
000011.SZ,2019-10-31,房地产,1992-03-30
000011.SZ,2019-11-29,房地产,1992-03-30
000011.SZ,2019-12-31,房地产,1992-03-30
000011.SZ,2020-01-23,房地产,1992-03-30
000011.SZ,2020-02-28,房地产,1992-03-30
000011.SZ,2020-03-31,房地产,1992-03-30
000011.SZ,2020-04-30,房地产,1992-03-30
000011.SZ,2020-05-29,房地产,1992-03-30
000011.SZ,2020-06-30,房地产,1992-03-30
000011.SZ,2020-07-31,房地产,1992-03-30
000011.SZ,2020-08-31,房地产,1992-03-30
000011.SZ,2020-09-30,房地产,1992-03-30
000011.SZ,2020-10-30,房地产,1992-03-30
000011.SZ,2020-11-30,房地产,1992-03-30
000011.SZ,2020-12-31,房地产,1992-03-30
000011.SZ,2021-01-29,房地产,1992-03-30
000011.SZ,2021-02-26,房地产,1992-03-30
000011.SZ,2021-03-31,房地产,1992-03-30
000011.SZ,2021-04-30,房地产,1992-03-30
000011.SZ,2021-05-31,房地产,1992-03-30
000011.SZ,2021-06-30,房地产,1992-03-30
000011.SZ,2021-07-30,房地产,1992-03-30
000011.SZ,2021-08-31,房地产,1992-03-30
000011.SZ,2021-09-30,房地产,1992-03-30
000011.SZ,2021-10-29,房地产,1992-03-30
000011.SZ,2021-11-30,房地产,1992-03-30
000011.SZ,2021-12-31,房地产,1992-03-30
000011.SZ,2022-01-28,房地产,1992-03-30
000011.SZ,2022-02-28,房地产,1992-03-30
000011.SZ,2022-03-31,房地产,1992-03-30
000011.SZ,2022-04-29,房地产,1992-03-30
000011.SZ,2022-05-31,房地产,1992-03-30
000011.SZ,2022-06-30,房地产,1992-03-30
000011.SZ,2022-07-29,房地产,1992-03-30
000011.SZ,2022-08-31,房地产,1992-03-30
000011.SZ,2022-09-30,房地产,1992-03-30
000011.SZ,2022-10-31,房地产,1992-03-30
000011.SZ,2022-11-30,房地产,1992-03-30
000011.SZ,2022-12-30,房地产,1992-03-30
000011.SZ,2023-01-31,房地产,1992-03-30
000014.SZ,2015-05-29,房地产,1992-06-02
000014.SZ,2015-06-30,房地产,1992-06-02
000014.SZ,2015-07-31,房地产,1992-06-02
000014.SZ,2015-08-31,房地产,1992-06-02
000014.SZ,2015-09-30,房地产,1992-06-02
000014.SZ,2015-10-30,房地产,1992-06-02
000014.SZ,2015-11-30,房地产,1992-06-02
000014.SZ,2015-12-31,房地产,1992-06-02
000014.SZ,2016-01-29,房地产,1992-06-02
000014.SZ,2016-02-29,房地产,1992-06-02
000014.SZ,2016-03-31,房地产,1992-06-02
000014.SZ,2016-04-29,房地产,1992-06-02
000014.SZ,2016-05-31,房地产,1992-06-02
000014.SZ,2016-06-30,房地产,1992-06-02
000014.SZ,2016-07-29,房地产,1992-06-02
000014.SZ,2016-08-31,房地产,1992-06-02
000014.SZ,2016-09-30,房地产,1992-06-02
000014.SZ,2016-10-31,房地产,1992-06-02
000014.SZ,2016-11-30,房地产,1992-06-02
000014.SZ,2016-12-30,房地产,1992-06-02
000014.SZ,2017-01-26,房地产,1992-06-02
000014.SZ,2017-02-28,房地产,1992-06-02
000014.SZ,2017-03-31,房地产,1992-06-02
000014.SZ,2017-04-28,房地产,1992-06-02
000014.SZ,2017-05-31,房地产,1992-06-02
000014.SZ,2017-06-30,房地产,1992-06-02
000014.SZ,2017-07-31,房地产,1992-06-02
000014.SZ,2017-08-31,房地产,1992-06-02
000014.SZ,2017-09-29,房地产,1992-06-02
000014.SZ,2017-10-31,房地产,1992-06-02
000014.SZ,2017-11-30,房地产,1992-06-02
000016.SZ,2015-05-29,家用电器,1992-03-27
000016.SZ,2015-06-30,家用电器,1992-03-27
000016.SZ,2015-07-31,家用电器,1992-03-27
000016.SZ,2015-08-31,家用电器,1992-03-27
000016.SZ,2015-09-30,家用电器,1992-03-27
000016.SZ,2015-10-30,家用电器,1992-03-27
000016.SZ,2015-11-30,家用电器,1992-03-27
000016.SZ,2015-12-31,家用电器,1992-03-27
000016.SZ,2016-01-29,家用电器,1992-03-27
000016.SZ,2016-02-29,家用电器,1992-03-27
000016.SZ,2016-03-31,家用电器,1992-03-27
000016.SZ,2016-04-29,家用电器,1992-03-27
000016.SZ,2016-05-31,家用电器,1992-03-27
000016.SZ,2016-06-30,家用电器,1992-03-27
000016.SZ,2016-07-29,家用电器,1992-03-27
000016.SZ,2016-08-31,家用电器,1992-03-27
000016.SZ,2016-09-30,家用电器,1992-03-27
000016.SZ,2016-10-31,家用电器,1992-03-27
000016.SZ,2016-11-30,家用电器,1992-03-27
000016.SZ,2016-12-30,家用电器,1992-03-27
000016.SZ,2017-01-26,家用电器,1992-03-27
000016.SZ,2017-02-28,家用电器,1992-03-27
000016.SZ,2017-03-31,家用电器,1992-03-27
000016.SZ,2017-04-28,家用电器,1992-03-27
000016.SZ,2017-05-31,家用电器,1992-03-27
000016.SZ,2017-06-30,家用电器,1992-03-27
000016.SZ,2017-07-31,家用电器,1992-03-27
000016.SZ,2017-08-31,家用电器,1992-03-27
000016.SZ,2017-09-29,家用电器,1992-03-27
000016.SZ,2017-10-31,家用电器,1992-03-27
000016.SZ,2017-11-30,家用电器,1992-03-27
000016.SZ,2017-12-29,家用电器,1992-03-27
000016.SZ,2018-01-31,家用电器,1992-03-27
000016.SZ,2018-02-28,家用电器,1992-03-27
000016.SZ,2018-03-30,家用电器,1992-03-27
000016.SZ,2018-04-27,家用电器,1992-03-27
000016.SZ,2018-05-31,家用电器,1992-03-27
000016.SZ,2018-06-29,家用电器,1992-03-27
000016.SZ,2018-07-31,家用电器,1992-03-27
000016.SZ,2018-08-31,家用电器,1992-03-27
000016.SZ,2018-09-28,家用电器,1992-03-27
000016.SZ,2018-10-31,家用电器,1992-03-27
000016.SZ,2018-11-30,家用电器,1992-03-27
000016.SZ,2018-12-28,家用电器,1992-03-27
000016.SZ,2019-01-31,家用电器,1992-03-27
000016.SZ,2019-02-28,家用电器,1992-03-27
000016.SZ,2019-03-29,家用电器,1992-03-27
000016.SZ,2019-04-30,家用电器,1992-03-27
000016.SZ,2019-05-31,家用电器,1992-03-27
000016.SZ,2019-06-28,家用电器,1992-03-27
000016.SZ,2019-07-31,家用电器,1992-03-27
000016.SZ,2019-08-30,家用电器,1992-03-27
000016.SZ,2019-09-30,家用电器,1992-03-27
000016.SZ,2019-10-31,家用电器,1992-03-27
000016.SZ,2019-11-29,家用电器,1992-03-27
000016.SZ,2019-12-31,家用电器,1992-03-27
000016.SZ,2020-01-23,家用电器,1992-03-27
000016.SZ,2020-02-28,家用电器,1992-03-27
000016.SZ,2020-03-31,家用电器,1992-03-27
000016.SZ,2020-04-30,家用电器,1992-03-27
000016.SZ,2020-05-29,家用电器,1992-03-27
000016.SZ,2020-06-30,家用电器,1992-03-27
000016.SZ,2020-07-31,家用电器,1992-03-27
000016.SZ,2020-08-31,家用电器,1992-03-27
000016.SZ,2020-09-30,家用电器,1992-03-27
000016.SZ,2020-10-30,家用电器,1992-03-27
000016.SZ,2020-11-30,家用电器,1992-03-27
